Member_number,Date,itemDescription,itemDescription_ro
4452,17-06-2015,pastry,patiserie
4129,13-08-2015,chicken,pui
3523,09-11-2015,root vegetables,legume rădăcinoase
2128,11-02-2015,whole milk,lapte integral
4867,03-02-2015,detergent,detergent
4762,30-10-2015,rolls/buns,chifle
1632,29-05-2015,house keeping products,
4018,17-11-2015,yogurt,iaurt
1722,13-07-2015,tropical fruit,fruct tropical
1438,19-10-2015,tropical fruit,fruct tropical
3958,27-10-2015,curd,brânză de vaci
3292,13-09-2015,beef,carne de vită
2861,23-02-2015,whole milk,lapte integral
1757,24-02-2015,pork,carne de porc
1509,30-12-2015,other vegetables,alte legume
2364,11-05-2015,rolls/buns,chifle
3084,26-10-2015,frankfurter,
1850,17-02-2015,yogurt,iaurt
1949,17-03-2015,whole milk,lapte integral
4740,02-10-2015,bottled water,apă îmbuteliată
1072,23-10-2015,frankfurter,
4196,09-07-2015,rolls/buns,chifle
4814,13-09-2015,whole milk,lapte integral
1514,28-02-2015,rolls/buns,chifle
4584,25-10-2015,chicken,pui
2751,03-02-2015,tropical fruit,fruct tropical
4155,24-09-2015,sausage,cârnați
4670,11-10-2015,sausage,cârnați
4566,27-07-2015,frankfurter,
2371,30-08-2015,UHT-milk,
3442,14-11-2015,rolls/buns,chifle
3090,27-09-2015,canned beer,bere la cutie
1457,09-01-2015,yogurt,iaurt
4952,08-04-2015,whipped/sour cream,frișcă/smântână
3165,11-01-2015,rolls/buns,chifle
2608,19-09-2015,rolls/buns,chifle
2040,07-10-2015,beverages,băuturi
1327,09-08-2015,rolls/buns,chifle
3363,07-01-2015,rolls/buns,chifle
1731,09-09-2015,bottled beer,bere la sticlă
2760,02-08-2015,citrus fruit,fructe citrice
3120,14-01-2015,bottled water,apă îmbuteliată
1332,30-04-2015,pastry,patiserie
4530,12-09-2015,domestic eggs,ouă
3145,23-02-2015,beef,carne de vită
1099,13-08-2015,spread cheese,
3188,06-12-2015,tropical fruit,fruct tropical
3748,13-10-2015,packaged fruit/vegetables,
4655,31-03-2015,whole milk,lapte integral
1827,01-05-2015,meat,
2485,17-02-2015,onions,ceapă
4683,15-01-2015,frankfurter,
4358,06-11-2015,beef,carne de vită
1931,09-10-2015,beef,carne de vită
2490,18-12-2015,sausage,cârnați
4842,08-12-2015,chicken,pui
4616,01-01-2015,canned beer,bere la cutie
2810,22-09-2015,sausage,cârnați
2785,18-10-2015,tropical fruit,fruct tropical
3591,20-07-2015,frankfurter,
3896,10-09-2015,sausage,cârnați
3842,01-07-2015,beef,carne de vită
2648,10-07-2015,tropical fruit,fruct tropical
4688,02-10-2015,yogurt,iaurt
3511,26-08-2015,frankfurter,
3084,04-09-2015,bottled beer,bere la sticlă
3810,07-05-2015,grapes,struguri
4348,26-02-2015,beverages,băuturi
3584,10-03-2015,curd,brânză de vaci
2620,11-06-2015,ice cream,înghețată
2716,18-01-2015,sausage,cârnați
3797,10-08-2015,other vegetables,alte legume
2976,02-06-2015,dessert,
2762,07-11-2015,decalcifier,decalifiant
3752,25-04-2015,canned beer,bere la cutie
1659,30-11-2015,coffee,cafea
4109,08-02-2015,berries,fructe de pădure
1542,07-08-2015,pork,carne de porc
2068,07-06-2015,frankfurter,
4509,14-06-2015,pork,carne de porc
4646,14-06-2015,frankfurter,
2122,07-04-2015,frozen dessert,desert congelat
2730,15-06-2015,chicken,pui
1800,31-07-2015,vinegar,
1456,18-09-2015,rolls/buns,chifle
1138,02-09-2015,whole milk,lapte integral
4104,12-06-2015,pork,carne de porc
4985,28-02-2015,rolls/buns,chifle
3181,13-12-2015,grapes,struguri
3178,21-10-2015,frankfurter,
1688,10-11-2015,finished products,produse finite
1488,28-11-2015,onions,ceapă
4975,08-05-2015,tropical fruit,fruct tropical
4697,09-01-2015,other vegetables,alte legume
4742,11-01-2015,ham,șuncă
2640,22-04-2015,other vegetables,alte legume
2548,25-12-2015,curd,brânză de vaci
2825,29-12-2015,sausage,cârnați
2592,04-07-2015,canned beer,bere la cutie
3622,28-12-2015,ham,șuncă
4852,21-08-2015,packaged fruit/vegetables,
1839,03-09-2015,meat,
2413,04-04-2015,whole milk,lapte integral
2982,14-06-2015,canned beer,bere la cutie
1981,31-10-2015,chicken,pui
4440,21-09-2015,rolls/buns,chifle
3497,24-11-2015,pet care,îngrijirea animalelor
3668,18-12-2015,root vegetables,legume rădăcinoase
4460,28-05-2015,pastry,patiserie
1335,16-01-2015,frankfurter,
4303,07-12-2015,chicken,pui
3508,28-02-2015,frozen dessert,desert congelat
1959,19-03-2015,citrus fruit,fructe citrice
3856,06-03-2015,sausage,cârnați
3141,29-07-2015,root vegetables,legume rădăcinoase
4640,25-09-2015,root vegetables,legume rădăcinoase
4851,25-05-2015,bottled beer,bere la sticlă
3306,22-09-2015,frankfurter,
2193,08-04-2015,root vegetables,legume rădăcinoase
1156,13-09-2015,berries,fructe de pădure
4596,08-04-2015,hamburger meat,
1245,08-10-2015,tropical fruit,fruct tropical
1515,05-07-2015,frankfurter,
2564,14-07-2015,frankfurter,
4527,18-10-2015,soda,suc carbogazos
2487,09-07-2015,ice cream,înghețată
3420,27-02-2015,beef,carne de vită
4442,28-11-2015,whole milk,lapte integral
3164,30-04-2015,pork,carne de porc
3601,01-04-2015,whole milk,lapte integral
3176,25-05-2015,bottled beer,bere la sticlă
2568,22-07-2015,pork,carne de porc
1856,26-10-2015,root vegetables,legume rădăcinoase
3859,30-09-2015,canned beer,bere la cutie
1668,21-08-2015,citrus fruit,fructe citrice
4499,23-08-2015,pip fruit,fruct cu sâmburi
1753,21-08-2015,root vegetables,legume rădăcinoase
3829,25-06-2015,tropical fruit,fruct tropical
4825,08-01-2015,beef,carne de vită
3694,10-11-2015,chicken,pui
4147,02-01-2015,citrus fruit,fructe citrice
2196,09-10-2015,meat,
2229,22-05-2015,cream cheese ,
4724,03-09-2015,citrus fruit,fructe citrice
3066,11-10-2015,specialty bar,
1120,08-06-2015,meat,
4769,22-08-2015,citrus fruit,fructe citrice
4711,17-09-2015,frankfurter,
2391,22-06-2015,citrus fruit,fructe citrice
1216,04-03-2015,turkey,
3154,14-05-2015,citrus fruit,fructe citrice
3911,30-07-2015,sausage,cârnați
3111,15-10-2015,newspapers,ziare
1385,26-11-2015,whole milk,lapte integral
1158,21-03-2015,yogurt,iaurt
2733,22-07-2015,yogurt,iaurt
4999,26-12-2015,bottled water,apă îmbuteliată
2882,12-06-2015,berries,fructe de pădure
2590,25-06-2015,packaged fruit/vegetables,
4249,04-08-2015,frankfurter,
3012,03-05-2015,nuts/prunes,
1533,07-11-2015,citrus fruit,fructe citrice
1667,12-01-2015,beef,carne de vită
4323,13-05-2015,whole milk,lapte integral
2087,22-02-2015,other vegetables,alte legume
1853,31-05-2015,beef,carne de vită
2157,29-10-2015,fish,pește
1136,29-10-2015,other vegetables,alte legume
2049,07-10-2015,tropical fruit,fruct tropical
3122,02-05-2015,coffee,cafea
2245,15-05-2015,sausage,cârnați
4746,18-10-2015,meat,
4224,24-02-2015,chicken,pui
4219,19-03-2015,berries,fructe de pădure
2641,01-01-2015,frozen meals,
3173,25-07-2015,whipped/sour cream,frișcă/smântână
2191,19-10-2015,beef,carne de vită
4212,07-04-2015,chicken,pui
1902,01-12-2015,chicken,pui
1347,27-03-2015,beef,carne de vită
1578,23-06-2015,packaged fruit/vegetables,
1264,23-11-2015,sugar,zahăr
4632,30-09-2015,frankfurter,
3452,01-11-2015,berries,fructe de pădure
4822,10-02-2015,bottled water,apă îmbuteliată
3987,18-06-2015,sausage,cârnați
1672,07-10-2015,whole milk,lapte integral
4864,01-12-2015,ice cream,înghețată
3368,09-03-2015,frankfurter,
1283,22-09-2015,root vegetables,legume rădăcinoase
4428,28-06-2015,sausage,cârnați
2577,25-10-2015,sausage,cârnați
1973,24-10-2015,beef,carne de vită
3284,23-01-2015,fruit/vegetable juice,suc de fructe/legume
1905,19-05-2015,sugar,zahăr
2226,09-03-2015,berries,fructe de pădure
1932,04-09-2015,yogurt,iaurt
4506,11-08-2015,pork,carne de porc
1843,27-11-2015,bottled beer,bere la sticlă
3973,27-07-2015,curd,brânză de vaci
1651,28-07-2015,beef,carne de vită
3997,12-10-2015,pork,carne de porc
4796,25-08-2015,white bread,pâine albă
1245,24-09-2015,grapes,struguri
3579,17-08-2015,potato products,
4387,10-02-2015,root vegetables,legume rădăcinoase
2496,29-06-2015,chicken,pui
3590,28-03-2015,chicken,pui
2890,26-04-2015,fish,pește
1401,27-01-2015,canned beer,bere la cutie
3297,21-05-2015,other vegetables,alte legume
2867,23-12-2015,chicken,pui
1365,20-05-2015,other vegetables,alte legume
2355,24-07-2015,tropical fruit,fruct tropical
1170,19-03-2015,whole milk,lapte integral
3554,21-03-2015,beef,carne de vită
4171,26-01-2015,sausage,cârnați
3963,17-09-2015,whole milk,lapte integral
3076,08-12-2015,rolls/buns,chifle
1629,17-05-2015,citrus fruit,fructe citrice
1366,30-05-2015,whole milk,lapte integral
3677,29-07-2015,pastry,patiserie
2844,21-05-2015,tropical fruit,fruct tropical
4509,28-09-2015,sliced cheese,brânză feliată
3245,11-05-2015,soda,suc carbogazos
2294,22-06-2015,ham,șuncă
1234,20-11-2015,salty snack,gustare sărată
3001,24-12-2015,whole milk,lapte integral
3587,05-08-2015,root vegetables,legume rădăcinoase
2700,22-01-2015,soda,suc carbogazos
3838,14-12-2015,curd,brânză de vaci
4045,22-12-2015,bottled water,apă îmbuteliată
1858,25-04-2015,packaged fruit/vegetables,
2280,11-01-2015,tropical fruit,fruct tropical
2454,06-04-2015,ham,șuncă
4437,09-10-2015,pork,carne de porc
1685,30-03-2015,beverages,băuturi
2349,26-02-2015,sausage,cârnați
1463,24-12-2015,sausage,cârnați
3470,19-02-2015,root vegetables,legume rădăcinoase
4914,29-11-2015,whole milk,lapte integral
2448,31-08-2015,frankfurter,
3387,10-05-2015,soda,suc carbogazos
3167,04-11-2015,soda,suc carbogazos
3175,17-03-2015,frankfurter,
2678,21-09-2015,berries,fructe de pădure
4627,18-12-2015,canned beer,bere la cutie
1773,17-10-2015,frankfurter,
3100,23-05-2015,frankfurter,
3232,29-05-2015,berries,fructe de pădure
3673,12-08-2015,frankfurter,
4068,19-11-2015,newspapers,ziare
2340,07-10-2015,frozen fish,
1930,01-03-2015,tropical fruit,fruct tropical
3526,02-06-2015,beef,carne de vită
1617,10-02-2015,rolls/buns,chifle
1028,11-07-2015,specialty chocolate,
4440,01-12-2015,sparkling wine,
3554,23-07-2015,citrus fruit,fructe citrice
1632,15-12-2015,onions,ceapă
1429,07-02-2015,whole milk,lapte integral
1225,20-05-2015,photo/film,fotografii/film
2509,15-07-2015,hamburger meat,
4945,02-08-2015,other vegetables,alte legume
4342,18-03-2015,whole milk,lapte integral
1832,28-09-2015,pork,carne de porc
1518,21-06-2015,tropical fruit,fruct tropical
1512,20-09-2015,chicken,pui
4818,20-03-2015,other vegetables,alte legume
4686,19-08-2015,sausage,cârnați
4986,01-02-2015,whole milk,lapte integral
2755,06-02-2015,rolls/buns,chifle
4532,29-11-2015,hygiene articles,
2070,16-08-2015,ice cream,înghețată
1894,09-05-2015,curd,brânză de vaci
3473,25-01-2015,whole milk,lapte integral
2140,28-09-2015,onions,ceapă
3286,23-12-2015,finished products,produse finite
4729,08-04-2015,salt,
3204,20-02-2015,tropical fruit,fruct tropical
1574,18-04-2015,other vegetables,alte legume
3361,22-07-2015,chocolate,ciocolată
1776,25-02-2015,ice cream,înghețată
2009,11-10-2015,tropical fruit,fruct tropical
3479,24-03-2015,frankfurter,
2394,22-11-2015,butter,unt
1337,25-12-2015,other vegetables,alte legume
3574,13-06-2015,tropical fruit,fruct tropical
1727,18-07-2015,citrus fruit,fructe citrice
1016,05-10-2015,UHT-milk,
4326,21-01-2015,beef,carne de vită
2212,22-09-2015,curd,brânză de vaci
1990,01-08-2015,citrus fruit,fructe citrice
3836,06-12-2015,yogurt,iaurt
4560,01-07-2015,bottled beer,bere la sticlă
1119,04-02-2015,grapes,struguri
1379,18-05-2015,pork,carne de porc
1658,03-09-2015,sausage,cârnați
2948,16-06-2015,frankfurter,
1273,04-05-2015,artif. sweetener,
1155,27-12-2015,frankfurter,
1672,05-02-2015,pip fruit,fruct cu sâmburi
3841,02-04-2015,frankfurter,
1683,20-08-2015,whole milk,lapte integral
1774,07-08-2015,domestic eggs,ouă
4441,17-06-2015,packaged fruit/vegetables,
1929,02-05-2015,chicken,pui
1273,31-01-2015,pork,carne de porc
2920,11-10-2015,citrus fruit,fructe citrice
2467,18-04-2015,light bulbs,
2678,28-11-2015,cream cheese ,
3423,02-06-2015,sausage,cârnați
4223,19-07-2015,citrus fruit,fructe citrice
2846,23-09-2015,other vegetables,alte legume
4103,26-07-2015,chicken,pui
4789,02-05-2015,ice cream,înghețată
4916,26-02-2015,pork,carne de porc
2518,03-05-2015,pork,carne de porc
2622,07-03-2015,onions,ceapă
4321,29-01-2015,tropical fruit,fruct tropical
2050,28-06-2015,whipped/sour cream,frișcă/smântână
2146,20-06-2015,berries,fructe de pădure
3938,26-05-2015,berries,fructe de pădure
1636,19-09-2015,rolls/buns,chifle
4694,29-07-2015,ice cream,înghețată
2432,07-07-2015,coffee,cafea
4937,18-05-2015,whole milk,lapte integral
1293,01-03-2015,whole milk,lapte integral
2883,17-02-2015,citrus fruit,fructe citrice
2267,30-01-2015,beef,carne de vită
3997,09-06-2015,pork,carne de porc
4792,20-07-2015,turkey,
2292,25-03-2015,margarine,margarină
1018,23-05-2015,butter milk,
4922,13-02-2015,beef,carne de vită
3151,25-09-2015,bottled water,apă îmbuteliată
2517,04-07-2015,pip fruit,fruct cu sâmburi
1499,17-05-2015,whole milk,lapte integral
4993,21-01-2015,chocolate,ciocolată
1606,11-11-2015,frankfurter,
2918,10-08-2015,whole milk,lapte integral
1815,13-01-2015,sausage,cârnați
4524,05-07-2015,grapes,struguri
1395,11-06-2015,brown bread,pâine integrală
3456,16-06-2015,root vegetables,legume rădăcinoase
1597,05-02-2015,UHT-milk,
2315,02-05-2015,onions,ceapă
4095,29-09-2015,beef,carne de vită
3680,24-11-2015,pork,carne de porc
2847,23-11-2015,canned beer,bere la cutie
3426,25-10-2015,yogurt,iaurt
4750,04-08-2015,yogurt,iaurt
1384,09-08-2015,pip fruit,fruct cu sâmburi
3120,09-08-2015,meat,
1081,25-04-2015,coffee,cafea
1171,05-05-2015,bottled water,apă îmbuteliată
4932,08-07-2015,bottled beer,bere la sticlă
4189,11-09-2015,sausage,cârnați
4455,09-09-2015,shopping bags,pungi de cumpărături
2928,11-02-2015,pork,carne de porc
4817,18-03-2015,frankfurter,
4257,28-06-2015,ice cream,înghețată
4254,20-07-2015,root vegetables,legume rădăcinoase
4071,19-09-2015,sausage,cârnați
2109,28-10-2015,sausage,cârnați
1412,05-07-2015,root vegetables,legume rădăcinoase
4088,23-09-2015,canned vegetables,
4056,20-10-2015,tropical fruit,fruct tropical
4441,05-05-2015,grapes,struguri
4363,01-07-2015,whole milk,lapte integral
2107,27-11-2015,frankfurter,
2941,23-02-2015,dessert,
1497,26-07-2015,shopping bags,pungi de cumpărături
2211,01-01-2015,butter,unt
3510,02-01-2015,frankfurter,
4074,27-05-2015,pork,carne de porc
3190,21-11-2015,whole milk,lapte integral
2297,01-03-2015,brown bread,pâine integrală
3311,01-07-2015,frozen fish,
3085,21-01-2015,soda,suc carbogazos
3693,16-11-2015,whole milk,lapte integral
4859,07-07-2015,pork,carne de porc
2125,25-06-2015,whipped/sour cream,frișcă/smântână
2261,04-04-2015,frankfurter,
3679,27-11-2015,grapes,struguri
4165,18-08-2015,sausage,cârnați
3538,01-03-2015,citrus fruit,fructe citrice
3913,19-02-2015,ham,șuncă
2336,14-04-2015,chewing gum,gumă de mestecat
3549,01-08-2015,beef,carne de vită
4434,21-09-2015,beef,carne de vită
2854,08-02-2015,other vegetables,alte legume
3413,08-02-2015,frankfurter,
1780,13-10-2015,canned fish,pește la conservă
2899,06-09-2015,sausage,cârnați
2106,13-08-2015,bottled water,apă îmbuteliată
3929,30-07-2015,specialty cheese,brânză specială
3857,01-10-2015,bottled water,apă îmbuteliată
4459,18-12-2015,bottled water,apă îmbuteliată
4551,28-07-2015,chicken,pui
4042,17-12-2015,frankfurter,
2599,06-05-2015,chicken,pui
1045,25-11-2015,chicken,pui
4677,24-01-2015,butter,unt
1580,14-06-2015,citrus fruit,fructe citrice
3269,07-10-2015,whipped/sour cream,frișcă/smântână
4368,29-01-2015,frankfurter,
1111,20-11-2015,beef,carne de vită
4841,13-09-2015,chicken,pui
3047,07-09-2015,sausage,cârnați
4349,14-03-2015,citrus fruit,fructe citrice
3580,24-11-2015,ice cream,înghețată
2370,18-07-2015,specialty chocolate,
3094,28-06-2015,frankfurter,
1146,12-09-2015,pork,carne de porc
2287,16-12-2015,UHT-milk,
3911,23-08-2015,UHT-milk,
4891,19-04-2015,cookware,
4837,02-12-2015,citrus fruit,fructe citrice
4464,21-10-2015,sausage,cârnați
2940,18-10-2015,frankfurter,
4972,06-02-2015,citrus fruit,fructe citrice
4890,03-07-2015,ham,șuncă
4295,17-07-2015,ham,șuncă
2729,24-09-2015,bottled water,apă îmbuteliată
1125,19-11-2015,popcorn,
1850,11-01-2015,tropical fruit,fruct tropical
2928,22-09-2015,frankfurter,
3717,30-05-2015,hamburger meat,
3809,24-03-2015,soda,suc carbogazos
3437,02-02-2015,sausage,cârnați
1481,17-01-2015,yogurt,iaurt
1050,04-05-2015,meat,
2918,16-03-2015,red/blush wine,vin roșu/roz
4499,08-08-2015,UHT-milk,
4117,06-01-2015,brown bread,pâine integrală
1630,22-05-2015,semi-finished bread,
3715,11-05-2015,whole milk,lapte integral
3512,17-11-2015,cat food,
1197,27-04-2015,citrus fruit,fructe citrice
3958,04-03-2015,citrus fruit,fructe citrice
4890,14-09-2015,meat,
3112,19-05-2015,rolls/buns,chifle
4502,22-11-2015,root vegetables,legume rădăcinoase
4719,01-06-2015,tropical fruit,fruct tropical
1516,28-01-2015,brown bread,pâine integrală
4281,18-10-2015,shopping bags,pungi de cumpărături
1566,30-04-2015,grapes,struguri
4641,29-11-2015,ham,șuncă
2561,26-02-2015,root vegetables,legume rădăcinoase
2344,17-12-2015,ice cream,înghețată
2643,21-04-2015,tropical fruit,fruct tropical
3236,09-04-2015,finished products,produse finite
4863,30-12-2015,dessert,
2264,12-01-2015,sparkling wine,
3168,20-03-2015,other vegetables,alte legume
1282,18-11-2015,misc. beverages,
2832,02-11-2015,other vegetables,alte legume
3067,27-11-2015,misc. beverages,
1847,17-04-2015,dessert,
3525,14-02-2015,frankfurter,
1231,14-10-2015,sausage,cârnați
3471,28-03-2015,meat,
2421,22-11-2015,sausage,cârnați
4092,14-06-2015,onions,ceapă
1577,16-03-2015,beef,carne de vită
3463,13-06-2015,pip fruit,fruct cu sâmburi
3518,01-08-2015,ham,șuncă
4325,14-10-2015,yogurt,iaurt
4947,18-11-2015,citrus fruit,fructe citrice
2194,11-01-2015,other vegetables,alte legume
2868,20-03-2015,pork,carne de porc
3211,30-09-2015,bathroom cleaner,
4537,01-01-2015,ham,șuncă
2243,15-09-2015,grapes,struguri
2399,21-01-2015,pastry,patiserie
4133,22-01-2015,citrus fruit,fructe citrice
2937,17-06-2015,photo/film,fotografii/film
1029,14-03-2015,dessert,
4384,22-09-2015,citrus fruit,fructe citrice
3756,22-07-2015,soda,suc carbogazos
1646,19-06-2015,chewing gum,gumă de mestecat
3066,30-11-2015,root vegetables,legume rădăcinoase
1259,27-11-2015,pork,carne de porc
2245,28-01-2015,turkey,
3289,01-03-2015,tropical fruit,fruct tropical
3742,22-08-2015,sausage,cârnați
4537,09-04-2015,sausage,cârnați
4531,29-09-2015,pork,carne de porc
3764,05-10-2015,sausage,cârnați
1581,13-08-2015,grapes,struguri
2859,11-02-2015,grapes,struguri
2175,06-03-2015,other vegetables,alte legume
1301,03-11-2015,pot plants,
3465,01-11-2015,bottled water,apă îmbuteliată
2203,27-06-2015,prosecco,prosecco
2113,16-08-2015,UHT-milk,
3072,26-01-2015,bottled water,apă îmbuteliată
2805,17-08-2015,rolls/buns,chifle
2511,14-07-2015,specialty chocolate,
2120,26-01-2015,beef,carne de vită
2346,24-04-2015,tropical fruit,fruct tropical
2071,14-10-2015,beef,carne de vită
2610,26-02-2015,rolls/buns,chifle
3489,18-11-2015,berries,fructe de pădure
3458,13-08-2015,sausage,cârnați
4869,06-02-2015,chicken,pui
2580,11-04-2015,sausage,cârnați
3305,24-06-2015,shopping bags,pungi de cumpărături
3811,24-06-2015,canned beer,bere la cutie
1782,16-08-2015,soda,suc carbogazos
3050,07-04-2015,yogurt,iaurt
4924,14-09-2015,rolls/buns,chifle
1480,21-11-2015,rolls/buns,chifle
3508,15-08-2015,whole milk,lapte integral
2545,18-11-2015,citrus fruit,fructe citrice
3638,06-06-2015,citrus fruit,fructe citrice
